date,bitcoins
2013-05-27,7
2013-05-28,7
2013-05-29,10
2013-05-30,7
2013-05-31,6
2013-06-01,6
2013-06-02,7
2013-06-03,6
2013-06-04,6
2013-06-05,5
2013-06-06,5
2013-06-07,5
2013-06-08,7
2013-06-09,10
2013-06-10,8
2013-06-11,6
2013-06-12,7
2013-06-13,4
2013-06-14,3
2013-06-15,7
2013-06-16,7
2013-06-17,7
2013-06-18,4
2013-06-19,7
2013-06-20,5
2013-06-21,4
2013-06-22,5
2013-06-23,5
2013-06-24,5
2013-06-25,6
2013-06-26,5
2013-06-27,6
2013-06-28,7
2013-06-29,5
2013-06-30,8
2013-07-01,4
2013-07-02,12
2013-07-03,8
2013-07-04,7
2013-07-05,6
2013-07-06,4
2013-07-07,5
2013-07-08,5
2013-07-09,5
2013-07-10,6
2013-07-11,7
2013-07-12,4
2013-07-13,5
2013-07-14,3
2013-07-15,5
2013-07-16,4
2013-07-17,5
2013-07-18,5
2013-07-19,3
2013-07-20,8
2013-07-21,5
2013-07-22,5
2013-07-23,5
2013-07-24,4
2013-07-25,5
2013-07-26,6
2013-07-27,2
2013-07-28,6
2013-07-29,6
2013-07-30,7
2013-07-31,7
2013-08-01,4
2013-08-02,4
2013-08-03,4
2013-08-04,8
2013-08-05,6
2013-08-06,6
2013-08-07,4
2013-08-08,8
2013-08-09,7
2013-08-10,4
2013-08-11,7
2013-08-12,7
2013-08-13,6
2013-08-14,9
2013-08-15,9
2013-08-16,7
2013-08-17,6
2013-08-18,7
2013-08-19,9
2013-08-20,5
2013-08-21,7
2013-08-22,6
2013-08-23,6
2013-08-24,7
2013-08-25,6
2013-08-26,5
2013-08-27,8
2013-08-28,6
2013-08-29,7
2013-08-30,3
2013-08-31,5
2013-09-01,5
2013-09-02,4
2013-09-03,3
2013-09-04,4
2013-09-05,6
2013-09-06,5
2013-09-07,3
2013-09-08,3
2013-09-09,7
2013-09-10,4
2013-09-11,5
2013-09-12,2
2013-09-13,3
2013-09-14,5
2013-09-15,3
2013-09-16,5
2013-09-17,3
2013-09-18,5
2013-09-19,4
2013-09-20,7
2013-09-21,7
2013-09-22,3
2013-09-23,6
2013-09-24,5
2013-09-25,6
2013-09-26,5
2013-09-27,6
2013-09-28,5
2013-09-29,3
2013-09-30,4
2013-10-01,5
2013-10-02,9
2013-10-03,18
2013-10-04,11
2013-10-05,8
2013-10-06,9
2013-10-07,9
2013-10-08,9
2013-10-09,7
2013-10-10,4
2013-10-11,4
