Date,bitcoins
9/3/2013,3
9/4/2013,4
9/5/2013,6
9/6/2013,5
9/7/2013,3
9/8/2013,3
9/9/2013,7
9/10/2013,4
9/11/2013,5
9/12/2013,2
9/13/2013,3
9/14/2013,5
9/15/2013,3
9/16/2013,5
9/17/2013,3
9/18/2013,5
9/19/2013,4
9/20/2013,7
9/21/2013,7
9/22/2013,3
9/23/2013,6
9/24/2013,5
9/25/2013,6
9/26/2013,5
9/27/2013,6
9/28/2013,5
9/29/2013,3
9/30/2013,4
10/1/2013,5
10/2/2013,9
10/3/2013,18
10/4/2013,11
10/5/2013,8
10/6/2013,9
10/7/2013,9
10/8/2013,9
10/9/2013,7
10/10/2013,4
10/11/2013,4
10/12/2013,5
10/13/2013,5
10/14/2013,5
10/15/2013,7
10/16/2013,7
10/17/2013,7
10/18/2013,5
10/19/2013,7
10/20/2013,6
10/21/2013,5
10/22/2013,6
10/23/2013,7
10/24/2013,6
10/25/2013,7
10/26/2013,10
10/27/2013,9
10/28/2013,8
10/29/2013,26
10/30/2013,46
10/31/2013,23
11/1/2013,18
11/2/2013,11
11/3/2013,11
11/4/2013,16
11/5/2013,18
11/6/2013,17
11/7/2013,21
11/8/2013,22
11/9/2013,16
11/10/2013,17
11/11/2013,13
11/12/2013,14
11/13/2013,20
11/14/2013,20
11/15/2013,22
11/16/2013,17
11/17/2013,21
11/18/2013,39
11/19/2013,59
11/20/2013,40
11/21/2013,28
11/22/2013,38
11/23/2013,28
11/24/2013,19
11/25/2013,30
11/26/2013,24
11/27/2013,50
11/28/2013,100
11/29/2013,79
11/30/2013,60
12/1/2013,47
12/2/2013,47
12/3/2013,42
12/4/2013,36
12/5/2013,49
12/6/2013,48
12/7/2013,39
12/8/2013,31
12/9/2013,30
12/10/2013,26
12/11/2013,24
12/12/2013,26
12/13/2013,27
12/14/2013,25
12/15/2013,29
12/16/2013,29
12/17/2013,22
12/18/2013,36
12/19/2013,26
12/20/2013,21
12/21/2013,18
12/22/2013,23
12/23/2013,16
12/24/2013,17
12/25/2013,17
12/26/2013,15
12/27/2013,17
12/28/2013,17
12/29/2013,14
12/30/2013,14
12/31/2013,14
1/1/2014,12
1/2/2014,47
1/3/2014,45
1/4/2014,56
1/5/2014,46
1/6/2014,59
1/7/2014,51
1/8/2014,60
1/9/2014,65
1/10/2014,65
1/11/2014,54
1/12/2014,42
1/13/2014,51
1/14/2014,47
1/15/2014,52
1/16/2014,59
1/17/2014,76
1/18/2014,60
1/19/2014,39
1/20/2014,57
1/21/2014,54
1/22/2014,62
1/23/2014,53
1/24/2014,46
1/25/2014,52
1/26/2014,39
1/27/2014,60
1/28/2014,60
1/29/2014,47
1/30/2014,40
1/31/2014,50
2/1/2014,42
2/2/2014,33
2/3/2014,41
2/4/2014,46
2/5/2014,38
2/6/2014,43
2/7/2014,47
2/8/2014,37
2/9/2014,42
2/10/2014,49
2/11/2014,45
2/12/2014,46
2/13/2014,41
2/14/2014,58
2/15/2014,48
2/16/2014,36
2/17/2014,33
2/18/2014,45
2/19/2014,50
2/20/2014,43
2/21/2014,42
2/22/2014,37
2/23/2014,33
2/24/2014,81
2/25/2014,100
2/26/2014,74
2/27/2014,59
2/28/2014,75
3/1/2014,51
3/2/2014,41
3/3/2014,48
3/4/2014,46
3/5/2014,36
3/6/2014,61
3/7/2014,70
3/8/2014,39
3/9/2014,27
3/10/2014,38
3/11/2014,43
3/12/2014,31
3/13/2014,24
3/14/2014,38
3/15/2014,34
3/16/2014,29
3/17/2014,26
3/18/2014,21
3/19/2014,24
3/20/2014,23
3/21/2014,42
3/22/2014,28
3/23/2014,23
3/24/2014,24
3/25/2014,23
3/26/2014,32
3/27/2014,32
3/28/2014,30
3/29/2014,21
3/30/2014,18
3/31/2014,29
4/1/2014,19
4/2/2014,21
4/3/2014,28
4/4/2014,19
4/5/2014,22
4/6/2014,20
